,Unnamed: 0,steam_appid,name,english,publisher,platforms,genres,average_playtime,median_playtime,owners,price,grade,month,year,economic_success,release_year,release_month,local_multi_player,mmo,multi_player,online_co_op,online_multi_player,single_player,action,adventure,casual,indie,massively_multiplayer,rpg,racing,simulation,sports,strategyviolent
614,1965,251150,The Legend of Heroes: Trails in the Sky,1.0,"XSEED Games;Marvelous USA, Inc.",windows,RPG,3755.0,3755.0,0.2,12.99,0.9147681586705976,7.0,2014.0,4.5465,2014,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
615,1966,251170,Damned,1.0,9heads Game Studios,windows,Adventure,450.0,872.0,0.2,15.49,0.7226651480637813,10.0,2014.0,5.4215,2014,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
616,1968,251230,Livelock,1.0,Perfect World Entertainment,windows,Action;Adventure;Indie,252.0,252.0,0.05,7.19,0.7791878172588832,8.0,2016.0,0.53925,2016,8,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
617,1970,251290,The Legend of Heroes: Trails in the Sky SC,1.0,"XSEED Games;Marvelous USA, Inc.",windows,RPG,0.0,0.0,0.05,22.99,0.9770723104056436,10.0,2015.0,1.7242499999999998,2015,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
618,1971,251310,Eleusis,1.0,Nocturnal works,windows,Adventure;Indie,208.0,208.0,0.02,9.99,0.5676855895196506,10.0,2013.0,0.34965,2013,10,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
619,1974,251430,The Inner World,1.0,Headup,windows,Adventure;Indie,0.0,0.0,0.1,11.99,0.9178743961352656,9.0,2013.0,1.7985,2013,9,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
620,1978,251510,Constant C,1.0,"International Games System, Co., LTD.",windows,Action;Casual;Indie,0.0,0.0,0.02,6.99,0.8627450980392157,3.0,2014.0,0.24465,2014,3,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
621,1980,251570,7 Days to Die,1.0,The Fun Pimps Entertainment LLC,windows,Nudity;Violent;Gore;Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access,2953.0,574.0,2.0,18.99,0.7822166110560015,12.0,2013.0,66.46499999999999,2013,12,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0
622,1984,251730,Legend of Grimrock 2,1.0,Almost Human Games,windows,Adventure;Indie;RPG,951.0,1191.0,0.2,17.99,0.906113537117904,10.0,2014.0,6.296499999999999,2014,10,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
623,1985,251770,Shadow Man,1.0,Nightdive Studios,windows,Action,48.0,48.0,0.05,3.99,0.8814655172413793,10.0,2013.0,0.29925,2013,10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
624,1988,251850,Master Reboot,1.0,Wales Interactive,windows,Action;Adventure;Indie,173.0,173.0,0.05,11.99,0.7560975609756098,10.0,2013.0,0.89925,2013,10,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
625,1990,251890,World of Diving,1.0,Vertigo Games,windows,Adventure;Indie;Simulation;Early Access,693.0,1352.0,0.02,14.99,0.5693311582381729,8.0,2014.0,0.52465,2014,8,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0
626,1992,251950,WWII Online,1.0,Cornered Rat Software,windows,Action;Free to Play;Indie;Massively Multiplayer;RPG;Simulation;Strategy;Early Access,10.0,10.0,0.2,0.0,0.4104308390022676,9.0,2017.0,0.0,2017,9,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0
627,1996,252050,Construction Machines 2014,1.0,GameCask,windows,Simulation,108.0,108.0,0.02,4.99,0.12258064516129033,3.0,2014.0,0.17465,2014,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
628,1997,252070,Gimbal,1.0,8888888 LABS,windows,Action;Indie,0.0,0.0,0.02,7.19,0.7611940298507462,11.0,2013.0,0.25165,2013,11,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
629,2002,252230,YAIBA: NINJA GAIDEN Z,1.0,"KOEI TECMO GAMES CO., LTD.",windows,Action;Adventure,68.0,68.0,0.02,22.99,0.6730245231607629,3.0,2014.0,0.80465,2014,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
630,2003,252250,Maia,1.0,Machine Studios,windows,Indie;Simulation;Strategy,19.0,19.0,0.05,17.98,0.4994594594594594,11.0,2018.0,1.3485,2018,11,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
631,2004,252270,Zombie Tycoon 2: Brainhov's Revenge,1.0,Frima Studio,windows,Action;Indie;Strategy,133.0,133.0,0.05,3.99,0.6509803921568628,12.0,2013.0,0.29925,2013,12,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
632,2006,252310,Syder Arcade,1.0,Studio Evil,windows,Action;Indie,173.0,173.0,0.1,6.99,0.8528,10.0,2013.0,1.0485,2013,10,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
633,2007,252330,Slender: The Arrival,1.0,Blue Isle Studios,windows,Action;Adventure;Indie,46.0,46.0,0.2,6.99,0.8854538248117321,10.0,2013.0,2.4465,2013,10,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
635,2011,252430,Dusty Revenge:Co-Op Edition,1.0,PD Design Studio,windows,Action;Indie,0.0,0.0,0.05,10.99,0.4117647058823529,2.0,2014.0,0.82425,2014,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
