,appid,name,publisher,genres,owners,price,economic_success,total_ratings,rating_ratio,rating,release_year,release_month,local_multi_player,mmo,multi_player,online_co_op,online_multi_player,single_player,action,adventure,casual,indie,massively_multiplayer,rpg,racing,simulation,sports,strategyviolent,type
16809,743370,Soccer Manager 2018,Soccer Manager Ltd,Sports,12.206072645530174,0.0,0.0,445,0.6808988764044944,62.663343239603776,2017,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Free
16810,743390,DISTRAINT 2,Jesse Makkonen,Adventure;Casual;Indie,9.903487552536127,9.3,12.693120812822663,999,0.965965965965966,90.55930930930931,2018,11,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,Premium
16812,743450,Monster Prom,Those Awesome Guys,Indie;Simulation,12.206072645530174,12.5,15.291417306345254,4468,0.9057743957027753,86.97026436533973,2018,4,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,Premium
16815,743580,CARRUMBLE,3DClouds,Action;Casual;Free to Play;Indie;Massively Multiplayer;Sports,9.903487552536127,0.0,0.0,70,0.6571428571428571,56.607911285600856,2019,11,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,Free
16816,743640,Achievement Clicker,MGG Studio,Action;Adventure;Casual;Indie;Simulation;Strategy,10.819778284410283,1.0,11.225256725762893,940,0.776595744680851,72.71617917855895,2017,11,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,Premium
16817,743660,Boot Hill Blaster,Fascimania,Action;Indie,9.903487552536127,1.0,10.463131911491967,11,0.9090909090909091,69.3955749341606,2017,11,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Premium
16828,744060,Groove Coaster,Degica;TAITO CORP.,Action,9.903487552536127,19.5,13.433519271241643,1009,0.7492566897918731,70.25682045995173,2018,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Premium
16830,744190,Rusty Lake Paradise,Rusty Lake,Adventure;Indie,11.512925464970229,4.0,13.304686600863562,1399,0.9285203716940672,87.60779749256878,2018,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Premium
16842,744520,NEKO-NIN exHeart +PLUS Nachi,Sekai Project,Sexual Content;Nudity;Action;Casual;Indie;Simulation,9.903487552536127,2.0,11.156264806643742,200,0.945,84.92650061623817,2017,11,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,Premium
16854,744800,Banyu Lintar Angin - Little Storm -,Toge Productions,Casual;Free to Play;Indie,9.903487552536127,0.0,0.0,423,0.9621749408983451,88.43160677704685,2018,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Free
16855,744810,A Raven Monologue,Toge Productions,Casual;Free to Play;Indie,11.512925464970229,0.0,0.0,1678,0.9487485101311085,89.80162612695825,2018,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Free
16857,744900,Dead Frontier 2,Creaky Corpse Ltd,Action;Free to Play;Indie;Massively Multiplayer;RPG,14.508657738524219,0.0,0.0,10469,0.6999713439679053,67.83975894333975,2019,7,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,Free
16871,745330,StrikeForce Kitty,Deqaf Studio,Adventure;Casual;Indie,9.903487552536127,8.25,12.573320004015606,116,0.8620689655172413,75.92848426413232,2018,2,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,Premium
16872,745370,Purple Heart,Artalasky,Adventure;Indie,9.903487552536127,4.0,11.849404844423074,68,0.6617647058823529,56.92682970531495,2017,11,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Premium
16878,745500,Pixel Space Battles,Ghost_RUS Games,Action;Casual;Indie,9.903487552536127,1.0,10.463131911491967,44,0.3181818181818182,26.76018202005888,2017,11,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,Premium
